name,code,population
Farau,AB,736
Heria,AB,383
Medves,AB,263
Sanbenedic,AB,373
Silea,AB,490
Galda de Jos,AB,1885
Benic,AB,508
Cetea,AB,559
Galda de Sus,AB,467
Lupseni,AB,54
Magura,AB,56
Mesentea,AB,216
Oiejdea,AB,886
Poiana Galdei,AB,174
Raicani,AB,46
Zagris,AB,12
Garbova,AB,1460
Carpinis,AB,334
Reciu,AB,273
Garda de Sus,AB,431
Biharia,AB,124
Dealu Frumos,AB,103
Dealu Ordancusii,AB,29
Dobresti,AB,67
Ghetari,AB,126
Garda Seaca,AB,149
Hanasesti,AB,112
Huzaresti,AB,111
Izvoarele,AB,69
Mununa,AB,92
Ocoale,AB,310
Plai,AB,150
Plisti,AB,38
Scoarta,AB,28
Sucesti,AB,71
Snide,AB,120
Hoparta,AB,407
Silivas,AB,218
Spalnaca,AB,329
Turdas,AB,361
Vama Seaca,AB,243
Horea,AB,293
Baba,AB,45
Butesti,AB,88
Darlesti,AB,378
Fericet,AB,204
Giurgiut,AB,104
Mancesti,AB,87
Matisesti,AB,464
Niculesti,AB,51
Patrusesti,AB,190
Petreasa,AB,69
Preluca,AB,95
Teiu,AB,78
Trifesti,AB,108
Zanzesti,AB,82
Ighiu,AB,1172
Bucerdea Vanoasa,AB,1091
Ighiel,AB,1055
Sard,AB,1861
Telna,AB,1222
Intregalde,AB,124
Dealu Geoagiului,AB,112
Ghioncani,AB,130
Iliesti,AB,31
Ivanis,AB,116
Marinesti,AB,28
Modolesti,AB,160
Necrilesti,AB,215
Popesti,AB,20
Sfarcea,AB,88
Tecsesti,AB,69
Jidvei,AB,1265
Balcaciu,AB,1103
Capalna de Jos,AB,913
Feisa,AB,1026
Veseus,AB,1047
Livezile,AB,843
Izvoarele,AB,337
Poiana Aiudului,AB,515
Valisoara,AB,278
Lopadea Noua,AB,1132
Asinip,AB,230
Beta,AB,549
Bagau,AB,623
Cicard,AB,7
Ciuguzel,AB,749
Ocnisoara,AB,51
Odverem,AB,88
Lunca Muresului,AB,2105
Gura Ariesului,AB,542
Lupsa,AB,767
Bardesti,AB,21
Barzan,AB,48
Curmatura,AB,51
Dupa Deal,AB,92
Geamana,AB,7
Hadarau,AB,364
Holobani,AB,23
Lazuri,AB,350
Lunca,AB,131
Manastire,AB,85
Margaia,AB,10
Musca,AB,583
Pitiga,AB,206
Parau-Carbunari,AB,45
Posogani,AB,80
Sasa,AB,25
Trifesti,AB,19
Valea Holhorii,AB,40
Valea Lupsii,AB,737
Valea Sesii,AB,81
Vai,AB,168
Vinta,AB,87
Metes,AB,444
Ampoita,AB,700
Isca,AB,16
Lunca Ampoitei,AB,186
Lunca Metesului,AB,130
Padurea,AB,66
Poiana Ampoiului,AB,337
Poiana Ursului,AB,24
Presaca Ampoiului,AB,464
Remetea,AB,26
Tauti,AB,638
Valeni,AB,287
Mihalt,AB,2392
Cistei,AB,671
Obreja,AB,809
Zaries,AB,0
Miraslau,AB,924
Cicau,AB,260
Decea,AB,727
Lopadea Veche,AB,417
Ormenis,AB,127
Rachis,AB,40
Mogos,AB,158
Barbesti,AB,49
Barlesti,AB,149
Barlesti-Catun,AB,35
Barzogani,AB,45
Bocesti,AB,37
Bogdanesti,AB,21
Butesti,AB,54
Cojocani,AB,72
Cristesti,AB,90
Mamaligani,AB,60
Negresti,AB,22
Oncesti,AB,60
Poienile-Mogos,AB,183
Tomesti,AB,36
Valea Barlutesti,AB,48
Valea Barnii,AB,137
Valea Cocesti,AB,38
Valea Giogesti,AB,60
Valea Mlacii,AB,111
Valea Tupilor,AB,69
Noslac,AB,884
Captalan,AB,396
Copand,AB,234
Gabud,AB,335
Stana de Mures,AB,217
Valea Ciuciului,AB,91
Ocolis,AB,519
Lunca Larga,AB,116
Runc,AB,203
Vidolm,AB,161
Ohaba,AB,706
Colibi,AB,93
Maghierat,AB,12
Secasel,AB,344
Pianu de Sus,AB,1706
Pianu de Jos,AB,1142
Plaiuri,AB,99
Purcareti,AB,385
Strungari,AB,220
Poiana Vadului,AB,190
Costesti,AB,201
Duduieni,AB,125
Fagetu de Jos,AB,119
Fagetu de Sus,AB,177
Hanasesti,AB,116
Lupaiesti,AB,48
Morcanesti,AB,46
Pastesti,AB,182
Petelei,AB,96
Stanesti,AB,166
Ponor,AB,158
Dupa Deal,AB,125
Geogel,AB,234
Macaresti,AB,62
Valea Bucurului,AB,78
Vale In Jos,AB,229
Posaga de Jos,AB,542
Cortesti,AB,32
Incesti,AB,3
Lunca,AB,255
Orasti,AB,162
Posaga de Sus,AB,268
Sagagea,AB,356
Radesti,AB,724
Leorint,AB,359
Mescreac,AB,277
Soimus,AB,99
Rametea,AB,640
Coltesti,AB,753
Ramet,AB,63
Botani,AB,8
Bradesti,AB,61
Cheia,AB,17
Cotorasti,AB,139
Floresti,AB,53
Olteni,AB,41
Valea Fagetului,AB,64
Valea Inzelului,AB,117
Valea Manastirii,AB,158
Valea Poienii,AB,93
Valea Uzei,AB,104
Vladesti,AB,52
Rosia Montana,AB,1556
Balmosesti,AB,41
Blidesti,AB,103
Bunta,AB,41
Carpinis,AB,401
Coasta Hentii,AB,141
Corna,AB,358
Curaturi,AB,245
Daroaia,AB,402
Garda-Barbulesti,AB,107
Gura Rosiei,AB,106
Iacobesti,AB,54
Ignatesti,AB,102
Soal,AB,119
Tarina,AB,172
Vartop,AB,198
Rosia de Secas,AB,851
Tau,AB,582
Ungurei,AB,350
Salciua de Jos,AB,689
Dealu Caselor,AB,132
Dumesti,AB,111
Salciua de Sus,AB,627
Sub Piatra,AB,192
Valea Larga,AB,188
Salistea,AB,1272
Margineni,AB,100
Salistea-Deal,AB,255
Tartaria,AB,747
Sasciori,AB,1505
Capalna,AB,942
Dumbrava,AB,116
Laz,AB,466
Loman,AB,617
Plesi,AB,150
Rachita,AB,737
Sebesel,AB,1094
Tonea,AB,317
Scarisoara,AB,791
Barlesti,AB,41
Botesti,AB,24
Fata-Lazesti,AB,118
Floresti,AB,64
Lazesti,AB,117
Lespezea,AB,119
Matei,AB,68
Negesti,AB,183
Preluca,AB,100
Runc,AB,194
Sfoartea,AB,107
Stiuleti,AB,219
Trancesti,AB,42
Sancel,AB,1745
Iclod,AB,447
Panade,AB,716
Santimbru,AB,1150
Coslariu,AB,409
Dumitra,AB,138
Galtiu,AB,403
Totoi,AB,561
Sohodol,AB,225
Bazesti,AB,63
Bilanesti,AB,144
Bobaresti,AB,57
Bradeana,AB,196
Burzonesti,AB,68
Deoncesti,AB,45
Dilimani,AB,60
Furduiesti,AB,58
Gura Sohodol,AB,202
Hoanca,AB,101
Joldisesti,AB,18
Lazuri,AB,174
Lehesti,AB,77
Luminesti,AB,120
Medresti,AB,6
Moraresti,AB,55
Munesti,AB,57
Napaiesti,AB,54
Nelegesti,AB,44
Nicoresti,AB,57
Peles,AB,74
Poiana,AB,21
Robesti,AB,20
Sicoiesti,AB,40
Surdesti,AB,52
Sebisesti,AB,76
Simocesti,AB,68
Toci,AB,14
Valea Verde,AB,31
Vladosesti,AB,94
Stremt,AB,1439
Fata Pietrii,AB,111
Geoagiu de Sus,AB,897
Geomal,AB,483
Sibot,AB,1344
Balomiru de Camp,AB,638
Bacainti,AB,322
Saracsau,AB,260
Sona,AB,979
Alecus,AB,285
Biia,AB,1414
Doptau,AB,0
Lunca Tarnavei,AB,458
Sanmiclaus,AB,1472
Valea Sasului,AB,39
Spring,AB,607
Carpen,AB,227
Carpenii de Sus,AB,4
Cunta,AB,597
Drasov,AB,573
Vingard,AB,696
Sugag,AB,1317
Arti,AB,456
Barsana,AB,302
Dobra,AB,1096
Jidostina,AB,138
Martinie,AB,536
Tau Bistra,AB,413
Teius,AB,6206
Beldiu,AB,249
Capud,AB,369
Coslariu Nou,AB,95
Petelca,AB,280
Unirea,AB,3924
Ciugudu de Jos,AB,422
Ciugudu de Sus,AB,296
Dumbrava,AB,387
Inoc,AB,271
Mahaceni,AB,423
Vadu Motilor,AB,193
Bodesti,AB,162
Burzesti,AB,49
Dealu Frumos,AB,271
Lazesti,AB,56
Necsesti,AB,221
Poduri-Bricesti,AB,162
Popestii de Jos,AB,110
Popestii de Sus,AB,159
Tomutesti,AB,131
Totesti,AB,48
Valtori,AB,72
Valea Lunga,AB,1858
Faget,AB,95
Glogovet,AB,226
Lodroman,AB,274
Lunca,AB,553
Tauni,AB,500
Vidra,AB,65
Bai,AB,33
Bobaresti,AB,78
Bogdanesti,AB,64
Bordestii Poieni,AB,12
Culdesti,AB,91
Dealu Goiesti,AB,89
Dos,AB,89
Dosu Luncii,AB,56
Dosu Vasesti,AB,15
Dragoiesti-Lunca,AB,109
Ficaresti,AB,62
Gligoresti,AB,40
Goiesti,AB,82
Haiducesti,AB,108
Harasti,AB,9
Hoanca,AB,22
Jeflesti,AB,34
Lunca,AB,62
Lunca Bisericii,AB,78
Lunca de Jos,AB,31
Lunca Goiesti,AB,75
Lunca Vesesti,AB,85
Modolesti,AB,34
Nemesi,AB,85
Oidesti,AB,77
Pitarcesti,AB,42
Plescuta,AB,137
Poieni,AB,15
Ponorel,AB,52
Puiuletesti,AB,76
Runc,AB,87
Segaj,AB,43
Urdes,AB,45
Valea Morii,AB,184
Vasesti,AB,53
Valcaneasa,AB,57
Valcesti,AB,13
Vartanesti,AB,55
Vintu de Jos,AB,3029
Ciocasu,AB,25
Campu Goblii,AB,140
Criseni,AB,68
Dealu Ferului,AB,53
Gura Cutului,AB,50
Hategana,AB,48
Inuri,AB,159
Laz,AB,23
Matacina,AB,22
Mereteu,AB,201
Parau lui Mihai,AB,127
Poienita,AB,48
Stauini,AB,68
Valea Goblii,AB,109
Valea lui Mihai,AB,52
Valea Vintului,AB,546
Vurpar,AB,464
Arad,AR,190114
Fantanele,AR,2186
Alunis,AR,886
Frumuseni,AR,1570
Tisa Noua,AR,903
Livada,AR,1328
Sanleani,AR,1428
Sofronea,AR,1925
Sanpaul,AR,626
Vladimirescu,AR,5559
Cicir,AR,894
Horia,AR,2205
Mandruloc,AR,1106
Chisineu-Cris,AR,7156
Nadab,AR,1865
Curtici,AR,8146
Dorobanti,AR,1841
Ineu,AR,9942
Mocrea,AR,973
Lipova,AR,8829
Radna,AR,2435
Soimos,AR,795
Nadlac,AR,8458
Pancota,AR,5989
Maderat,AR,1457
Sebis,AR,5943
Donceni,AR,192
Prunisor,AR,619
Salajeni,AR,239
Almas,AR,1662
Cil,AR,661
Joia Mare,AR,218
Radesti,AR,578
Apateu,AR,2536
Berechiu,AR,991
Motiori,AR,433
Archis,AR,488
Barzesti,AR,193
Groseni,AR,982
Nermis,AR,242
Bata,AR,477
Bacau de Mijloc,AR,237
Bulci,AR,162
Tela,AR,375
Beliu,AR,1999
Benesti,AR,133
Bochia,AR,108
Vasile Goldis,AR,505
Secaci,AR,228
Tagadau,AR,569
Birchis,AR,752
Capalnas,AR,1024
Ostrov,AR,264
Virismort,AR,66
Barsa,AR,1077
Aldesti,AR,630
Hodis,AR,226
Voivodeni,AR,168
Barzava,AR,1063
Batuta,AR,94
Capruta,AR,348
Dumbravita,AR,385
Grosii Noi,AR,346
Lalasint,AR,519
Monorostia,AR,292
Slatina de Mures,AR,232
Bocsig,AR,2580
Manerau,AR,452
Rapsig,AR,854
Brazii,AR,129
Buceava-Soimus,AR,256
Iacobini,AR,277
Madrigesti,AR,331
Secas,AR,515
Buteni,AR,2201
Berindia,AR,253
Cuied,AR,884
Paulian,AR,364
Carand,AR,801
Selistea,AR,594
Cermei,AR,1914
Avram Iancu,AR,132
Somosches,AR,983
Chisindia,AR,1158
Paiuseni,AR,574
Vasoaia,AR,148
Conop,AR,581
Belotint,AR,385
Chelmac,AR,459
Milova,AR,560
Odvos,AR,493
Covasint,AR,2595
Craiva,AR,636
Chislaca,AR,703
Ciuntesti,AR,234
Coroi,AR,203
Maraus,AR,349
Rogoz de Beliu,AR,213
Stoinesti,AR,219
Susag,AR,512
Siad,AR,334
Talmaci,AR,89
Dezna,AR,975
Buhani,AR,215
Laz,AR,114
Neagra,AR,203
Slatina de Cris,AR,229
Dieci,AR,880
Cociuba,AR,174
Crocna,AR,555
Revetis,AR,188
Rosia,AR,86
Dorgos,AR,244
Bruznic,AR,214
Patars,AR,108
Ususau,AR,533
Zabalt,AR,312
Felnac,AR,2496
Bodrogu Nou,AR,216
Calugareni,AR,244
Zadareni,AR,2032
Ghioroc,AR,1867
Cuvin,AR,1579
Minis,AR,764
Graniceri,AR,1285
Siclau,AR,1177
Gurahont,AR,2160
Bontesti,AR,703
Dulcele,AR,123
Fenis,AR,214
Hontisor,AR,373
Iosas,AR,273
Mustesti,AR,105
Pescari,AR,357
Valea Mare,AR,134
Zimbru,AR,453
Halmagiu,AR,1200
Banesti,AR,306
Bodesti,AR,241
Brusturi,AR,605
Cristesti,AR,137
Ionesti,AR,242
Leasa,AR,356
Lestioara,AR,92
Poienari,AR,270
Tisa,AR,338
Tarmure,AR,294
Halmagel,AR,727
Luncsoara,AR,644
Sarbi,AR,200
Tarnavita,AR,255
Tohesti,AR,153
Hasmas,AR,583
Agrisu Mic,AR,242
Botfei,AR,261
Clit,AR,98
Comanesti,AR,141
Urvisu de Beliu,AR,263
Ignesti,AR,273
Minead,AR,149
Nadalbesti,AR,153
Susani,AR,283
Iratosu,AR,2053
Variasu Mare,AR,447
Variasu Mic,AR,137
Macea,AR,3948
Sanmartin,AR,1767
Misca,AR,1165
Satu Nou,AR,898
Vanatori,AR,1180
Zerindu Mic,AR,267
Moneasa,AR,964
Ranusa,AR,327
Olari,AR,1598
Sintea Mica,AR,413
Paulis,AR,1812
Baratca,AR,309
Cladova,AR,389
Sambateni,AR,1710
Pecica,AR,11472
Bodrogu Vechi,AR,17
Sederhat,AR,277
Turnu,AR,1164
Peregu Mare,AR,1011
Peregu Mic,AR,1047
Petris,AR,702
Corbesti,AR,248
Ilteu,AR,346
Obarsia,AR,165
Rosia Noua,AR,417
Seliste,AR,142
Pilu,AR,994
Varsand,AR,867
Plescuta,AR,349
Aciuta,AR,295
Budesti,AR,59
Dumbrava,AR,147
Gura Vaii,AR,223
Rostoci,AR,158
Talagiu,AR,565
Savarsin,AR,1490
Caprioara,AR,380
Cuias,AR,92
Halalis,AR,162
Parnesti,AR,274
Temesesti,AR,173
Toc,AR,501
Troas,AR,258
Valea Mare,AR,270
Secusigiu,AR,2135
Munar,AR,539
Satu Mare,AR,1005
Sanpetru German,AR,1952
Seleus,AR,2138
Iermata,AR,483
Moroda,AR,707
Semlac,AR,3787
Sintea Mare,AR,1164
Adea,AR,1025
Tipar,AR,1405
Santana,AR,10877
Caporal Alexa,AR,1248
Socodor,AR,2322
Sagu,AR,2033
Cruceni,AR,613
Firiteaz,AR,455
Fiscut,AR,527
Hunedoara Timisana,AR,230
Seitin,AR,2713
Sepreus,AR,2759
Sicula,AR,2592
Cherelus,AR,1032
Gurba,AR,1350
Silindia,AR,489
Camna,AR,99
Iercoseni,AR,71
Luguzau,AR,158
Satu Mic,AR,214
Simand,AR,4049
Siria,AR,5030
Galsa,AR,1993
Masca,AR,1034
Sistarovat,AR,314
Cuvesdia,AR,57
Labasint,AR,15
Varnita,AR,12
Taut,AR,972
Minisel,AR,274
Minisu de Sus,AR,216
Nadas,AR,1027
Tarnova,AR,1888
Agrisu Mare,AR,1013
Araneag,AR,467
Chier,AR,1130
Draut,AR,1100
Dud,AR,546
Varadia de Mures,AR,768
Baia,AR,175
Julita,AR,476
Lupesti,AR,365
Nicolae Balcescu,AR,316
Stejar,AR,179
Vinga,AR,4132
Mailat,AR,1133
Manastur,AR,1153
Varfurile,AR,950
Avram Iancu,AR,883
Grosi,AR,146
Lazuri,AR,540
Magulicea,AR,359
Mermesti,AR,242
Poiana,AR,249
Vidra,AR,369
Zabrani,AR,2146
Chesint,AR,1207
Neudorf,AR,1020
Zarand,AR,1494
Cintei,AR,1239
Zerind,AR,1013
Iermata Neagra,AR,666
Zimandu Nou,AR,1535
Andrei Saguna,AR,1824
Zimandcuz,AR,1202
Pitesti,AG,179337
Bascov,AG,4120
Braileni,AG,439
Glambocu,AG,658
Mica,AG,549
Prislopu Mic,AG,280
Scheau,AG,560
Uiasca,AG,571
Valea Ursului,AG,764
Bradu,AG,3416
Geamana,AG,1306
Mioveni,AG,29062
Clucereasa,AG,288
Colibasi,AG,1928
Fagetu,AG,1023
Racovita,AG,1596
Maracineni,AG,2787
Argeselu,AG,1501
Stefanesti,AG,2793
Enculesti,AG,548
Golesti,AG,1073
Izvorani,AG,791
Stefanestii Noi,AG,2738
Valea Mare-Podgoria,AG,3102
Viisoara,AG,631
Zavoi,AG,0
Campulung,AG,43552
Valea Rumanestilor,AG,573
Valea Mare Pravat,AG,1905
Bilcesti,AG,203
Colnic,AG,183
Fantanea,AG,149
Gura Pravat,AG,737
Namaesti,AG,802
Pietroasa,AG,297
Selari,AG,431
Curtea de Arges,AG,35107
Noaptes,AG,717
Costesti,AG,9270
Brosteni,AG,670
Laceni,AG,260
Parvu Rosu,AG,776
Podu Brosteni,AG,568
Smei,AG,199
Starci,AG,297
Topoloveni,AG,8208
Botarcani,AG,301
Crintesti,AG,355
Goranesti,AG,219
Tiganesti,AG,375
Albestii Pamanteni,AG,1609
Albestii Ungureni,AG,2251
Bratesti,AG,537
Doblea,AG,263
Dobrotu,AG,1021
Dumiresti,AG,91
Florieni,AG,65
Bughea de Sus,AG,2849
Albesti,AG,1244
Candesti,AG,534
Albota,AG,1549
Cerbu,AG,737
Fratesti,AG,78
Gura Vaii,AG,360
Mares,AG,1077
Aninoasa,AG,1095
Brosteni,AG,414
Slanic,AG,1114
Valea Silistii,AG,785
Capatanenii Pamanteni,AG,702
Arefu,AG,1928
Capatanenii Ungureni,AG,676
Babana,AG,767
Bajanesti,AG,50
Ciobanesti,AG,622
Cotmenita,AG,335
Grosi,AG,460
Lupueni,AG,198
Slaatioarele,AG,358
Baiculesti,AG,551
Alunisu,AG,338
Anghinesti,AG,298
Argesani,AG,485
Manicesti,AG,508
Stejari,AG,190
Tutana,AG,1740
Valea Brazilor,AG,654
Valea lui Enache,AG,683
Zigoneni,AG,926
Balilesti,AG,480
Bajesti,AG,1260
Golesti,AG,323
Poienita,AG,855
Priboaia,AG,414
Ulita,AG,433
Valea Mare-Bratia,AG,676
Zgripcesti,AG,627
Beleti,AG,681
Lentea,AG,342
Negresti,AG,412
Berevoesti,AG,2340
Bratia,AG,166
Gamacesti,AG,865
Otelu,AG,130
Barla,AG,1178
Afrimesti,AG,299
Badesti,AG,352
Brabeti,AG,190
Ciocesti,AG,527
Malu,AG,385
Mandra,AG,553
Mozacenii-Vale,AG,1146
Podisoru,AG,384
Selareasca,AG,233
Urlueni,AG,850
Zuvelcati,AG,77
Bogati,AG,2051
Barloi,AG,330
Bujoi,AG,472
Chitesti,AG,383
Dumbrava,AG,25
Glambocel,AG,208
Glambocelu,AG,828
Suseni,AG,1109
Boteni,AG,1975
Balabani,AG,320
Lunca,AG,594
Muscel,AG,108
Botesti,AG,994
Mosteni-Greci,AG,475
Bradulet,AG,498
Alunisu,AG,23
Bradetu,AG,589
Cosaci,AG,180
Galesu,AG,561
Piatra,AG,86
Slamnesti,AG,162
Uleni,AG,168
Ungureni,AG,117
Budeasa Mare,AG,636
Budeasa Mica,AG,726
Calotesti,AG,685
Galasesti,AG,1028
Rogojina,AG,335
Valea Marului,AG,376
Bughea de Jos,AG,3068
Vulpesti,AG,998
Bujoreni,AG,233
Buzoesti,AG,561
Cornatel,AG,1112
Curteanca,AG,416
Ionesti,AG,764
Podeni,AG,475
Redea,AG,22
Serboeni,AG,1619
Tomsanca,AG,422
Vladuta,AG,122
Caldararu,AG,1149
Burdea,AG,844
Strambeni,AG,1265
Vranesti,AG,1218
Calinesti,AG,1932
Ciocanesti,AG,863
Carstieni,AG,818
Glodu,AG,382
Gorganu,AG,1087
Radu Negru,AG,632
Rancaciov,AG,406
Udeni-Zavoi,AG,560
Urlucea,AG,797
Valea Corbului,AG,764
Valeni-Podgoria,AG,1069
Cateasca,AG,700
Catanele,AG,410
Ciresu,AG,709
Coseri,AG,382
Gruiu,AG,747
Recea,AG,237
Silistea,AG,559
Ceparii Pamanteni,AG,614
Carpenis,AG,596
Ceparii Ungureni,AG,420
Morasti,AG,274
Sendrulesti,AG,206
Urluiesti,AG,364
Valea Magurei,AG,163
Zamfiresti,AG,25
Cetateni,AG,1619
Laicai,AG,957
Valea Cetatuia,AG,632
Cicanesti,AG,582
Barasti,AG,1099
Mioarele,AG,218
Urechesti,AG,547
Ciofrangeni,AG,1197
Burlusi,AG,400
Lacurile,AG,761
Piatra,AG,232
Schitu-Matei,AG,223
Radutesti,AG,145
Beculesti,AG,254
Bratia,AG,34
Ciomagesti,AG,104
Cungrea,AG,267
Dogari,AG,330
Fedelesoiu,AG,113
Giuclani,AG,210
Paunesti,AG,155
Rachitele de Jos,AG,568
Barbatesti,AG,737
Cocu,AG,169
Crucisoara,AG,342
Facaletesti,AG,284
Greabanu,AG,118
Popesti,AG,400
Rachitele de Sus,AG,539
